,Unnamed: 0.1,Unnamed: 0,rm_restaurant_id,r_onlyname,r_city,r_state,r_score,r_ratings,r_category,r_price_range,r_lat,r_lng,min,max,mean,median,count,state_city,menu_items
4242,10311,10311,29618,HuevoRito,salt lake city,ut,,,"mexican, burritos, breakfast and brunch",$,40.74687,-111.89191,3.0,30.0,8.3125,7.0,1,UT/SALT LAKE CITY,16
4245,10314,10314,29621,Tacos Garay,salt lake city,ut,,,"mexican, seafood, tacos",$$,40.74958,-111.89912,3.99,22.99,10.122075471698114,9.99,1,UT/SALT LAKE CITY,53
4262,10331,10331,29643,El Chihuahua,salt lake city,ut,4.7,78.0,"mexican, family meals",$$,40.6863622,-111.8454225,3.0,23.0,13.103174603174605,14.5,1,UT/SALT LAKE CITY,63
4267,10336,10336,29650,Cancun Cafe,salt lake city,ut,,,"mexican, new mexican",$$,40.7652857,-111.8872675,3.0,29.99,11.942307692307692,11.99,1,UT/SALT LAKE CITY,52
4278,10347,10347,29664,La estacin del taco,salt lake city,ut,,,"mexican, latin american, new mexican",$,40.7664864,-111.8908604,7.8,9.1,8.45,8.45,1,UT/SALT LAKE CITY,4
4281,10350,10350,29668,Santo Taco,salt lake city,ut,,,"mexican, latin american, new mexican",$,40.78958,-111.91588,3.0,9.5,6.66,6.99,1,UT/SALT LAKE CITY,48
4282,10351,10351,29669,El Paisa Mariscos Y Tacos,salt lake city,ut,,,"mexican, latin american, new mexican",$,40.7499884,-111.8884946,3.38,16.9,8.672105263157894,8.45,1,UT/SALT LAKE CITY,19
4288,10357,10357,29681,Taco Taco,salt lake city,ut,,,"mexican, latin american, new mexican",$$,40.75827,-111.88494,3.0,12.0,7.755681818181818,9.0,1,UT/SALT LAKE CITY,44
4289,10358,10358,29682,TACOS Y MARISCOS EL PATRON LLC,salt lake city,ut,,,"mexican, latin american, new mexican",$,40.734139833351904,-111.89095172023774,3.5,13.99,7.766739130434782,8.0,1,UT/SALT LAKE CITY,46
4291,10360,10360,29685,Mi Lindo Nayarit,salt lake city,ut,,,"mexican, latin american, new mexican, exclusive to eats",$,40.74224857871194,-111.88705321401358,3.0,18.0,12.720338983050848,15.0,1,UT/SALT LAKE CITY,59
4292,10361,10361,29689,Argentinas Best Empanadas,salt lake city,ut,,,"latin american, mexican, vegetarian",$,40.76123,-111.8851,3.0,15.0,4.852941176470588,3.0,1,UT/SALT LAKE CITY,17
4294,10363,10363,29691,La Fountain Mexican Restaurant,salt lake city,ut,4.5,75.0,"mexican, latin american, new mexican",$,40.7,-111.83446,3.59,17.99,10.149038461538462,9.99,1,UT/SALT LAKE CITY,104
4298,10367,10367,29699,Rancho Markets Kitchen,salt lake city,ut,,,"mexican, latin american, new mexican",$,40.7724,-111.91585,3.97,39.97,12.97,10.97,1,UT/SALT LAKE CITY,14
4303,10372,10372,29707,MAIZE TACOS,salt lake city,ut,,,"mexican, latin american, new mexican",$$,40.76622,-111.88962,3.0,16.75,9.162222222222224,10.5,1,UT/SALT LAKE CITY,45
4304,10373,10373,29710,Drip Tacos,salt lake city,ut,4.8,23.0,"mexican, latin american, new mexican",$,40.7724,-111.91585,3.0,15.0,7.077647058823529,4.97,1,UT/SALT LAKE CITY,17
4306,10375,10375,29712,Victors Restaurant,salt lake city,ut,4.5,17.0,"mexican, latin american, seafood",$,40.7393473,-111.9113374,3.25,22.5,9.975254237288135,8.95,1,UT/SALT LAKE CITY,59
4309,10378,10378,29716,Chungas,salt lake city,ut,4.8,37.0,"mexican, latin american, new mexican",$,40.7288961,-111.9386365,4.5,10.99,7.190526315789474,8.0,1,UT/SALT LAKE CITY,38
4324,10393,10393,29741,Taco Bell,salt lake city,ut,4.6,100.0,"burritos, fast food, mexican, group friendly",$,40.7609745,-111.8730827,3.35,28.79,9.68485294117647,6.95,1,UT/SALT LAKE CITY,68
4325,10394,10394,29742,Betos Mexican Restaurant,salt lake city,ut,4.4,100.0,"mexican, latin american, new mexican, group friendly",$$,40.73701,-111.88793,3.29,24.99,10.052583333333333,10.59,1,UT/SALT LAKE CITY,120
4326,10395,10395,29743,Del Taco,salt lake city,ut,4.5,100.0,"fast food, mexican, tacos, group friendly",$,40.7609856,-111.8678351,3.05,22.05,8.133720930232558,7.35,1,UT/SALT LAKE CITY,86
4333,10402,10402,29752,East Liberty Tap House,salt lake city,ut,,,"burgers, mexican, tacos",$,40.74956,-111.86656,3.0,14.5,8.071428571428571,7.75,1,UT/SALT LAKE CITY,28
4341,10410,10410,29763,Fire Tacos,salt lake city,ut,,,"mexican, new mexican, latin american",$$,40.76359,-111.88872,3.36,22.28,9.9635,9.44,1,UT/SALT LAKE CITY,60
4374,10443,10443,29807,Sabor Latino,salt lake city,ut,4.9,54.0,"latin american, mexican, vegetarian, healthy",$,40.77157,-111.9523,3.49,24.99,10.78776,10.99,1,UT/SALT LAKE CITY,125
4394,10463,10463,29834,Nacho Daddy,salt lake city,ut,4.2,84.0,"mexican, vegan friendly, tex mex",$$$,40.76496,-111.89828,3.95,27.95,16.364246575342463,16.95,1,UT/SALT LAKE CITY,73
4408,10477,10477,29855,El Pollo Loco,salt lake city,ut,4.7,100.0,"latin american, mexican, new american, family meals, family friendly",$,40.7443,-111.9000692,3.29,52.99,13.26906976744186,10.99,1,UT/SALT LAKE CITY,43
4425,10494,10494,29879,Taco Time,salt lake city,ut,4.7,60.0,"mexican, salads, kids friendly, healthy",$,40.751449,-111.888749,3.74,13.11,6.335500000000001,5.45,1,UT/SALT LAKE CITY,40
4461,10530,10530,29936,Cafe Guanaco,salt lake city,ut,,,"mexican, chicken, comfort food",$,40.73786,-111.88851,3.0,15.0,7.039473684210527,4.0,1,UT/SALT LAKE CITY,38
4480,10549,10549,29968,Costa Vida,salt lake city,ut,4.2,35.0,"mexican, new mexican, comfort food",$,40.76601,-111.90363,3.49,10.69,6.956666666666667,5.69,1,UT/SALT LAKE CITY,21
4488,10557,10557,29980,Betos Mexican Restaurant,salt lake city,ut,4.4,100.0,"mexican, new mexican, comfort food",$,40.7016,-111.938484,3.49,11.99,7.6481818181818175,7.99,1,UT/SALT LAKE CITY,110
4499,10568,10568,30004,Costa Vida,salt lake city,ut,4.4,40.0,"mexican, new mexican",$,40.76914,-111.88913,3.0,10.69,6.64695652173913,5.69,1,UT/SALT LAKE CITY,23
4500,10569,10569,30007,Yoyis Mexican Grill,salt lake city,ut,,,mexican,$,40.742004,-111.8597633,3.25,8.49,5.46875,5.09,1,UT/SALT LAKE CITY,16
4508,10577,10577,30018,Barbacoa Mexican Grill,salt lake city,ut,5.0,27.0,"mexican, tex mex",$,40.750102,-111.86619,3.99,8.49,6.384736842105263,4.99,1,UT/SALT LAKE CITY,19
4509,10578,10578,30019,Santo Taco,salt lake city,ut,,,mexican,$,40.7890863,-111.9162648,7.49,9.5,9.098,9.5,1,UT/SALT LAKE CITY,5
4515,10584,10584,30030,Cafe Rio,salt lake city,ut,4.6,100.0,"kids friendly, mexican, tex mex",$,40.72566,-111.85588,4.69,13.09,9.425,11.09,1,UT/SALT LAKE CITY,20
4522,10591,10591,30380,Fiesta Ole,salt lake city,ut,,,"mexican, new mexican, tacos",$,40.65306,-111.98908,3.09,30.99,7.925211267605634,7.19,1,UT/SALT LAKE CITY,71
4538,10607,10607,30448,Taco Time,salt lake city,ut,,,mexican,$,40.68677,-111.888,3.29,8.99,5.491666666666667,4.99,1,UT/SALT LAKE CITY,36
4544,10613,10613,30511,Rubis Peruvian Taste,salt lake city,ut,,,"latin american, vegetarian, peruvian, mexican",$$$,40.69964,-111.86342,3.9,23.39,17.225714285714286,18.19,1,UT/SALT LAKE CITY,35
4549,10618,10618,30536,Marias Mexican Grill,salt lake city,ut,4.5,15.0,"mexican, latin american, new mexican",$$,40.698994,-111.824844,3.99,36.99,13.84558282208589,13.99,1,UT/SALT LAKE CITY,163
4554,10623,10623,30553,Taqueria El Gallo Loco,salt lake city,ut,,,"mexican, seafood, breakfast and brunch",$$,40.69753,-111.94195,3.5,35.99,12.03940594059406,10.99,1,UT/SALT LAKE CITY,101
4558,10627,10627,30587,Creamr,salt lake city,ut,,,"mexican, latin american, new mexican",$,40.69893,-111.86635,9.99,9.99,9.99,9.99,1,UT/SALT LAKE CITY,4
4560,10629,10629,30605,Pacos,salt lake city,ut,,,"mexican, latin american, new mexican",$,40.69753,-111.94195,3.85,17.05,7.8521052631578945,6.6,1,UT/SALT LAKE CITY,38
4563,10632,10632,30611,Yo Salsa,salt lake city,ut,,,"mexican, latin american, new mexican",$,40.69753,-111.94195,3.85,39.59,12.955060240963856,11.55,1,UT/SALT LAKE CITY,83
4564,10633,10633,30617,Rancho Markets Kitchen,salt lake city,ut,,,"mexican, latin american, new mexican",$,40.69893,-111.86635,3.97,39.97,13.827142857142858,11.97,1,UT/SALT LAKE CITY,14
4565,10634,10634,30625,Marias Mexican Restaurant,salt lake city,ut,3.9,29.0,"mexican, latin american, new mexican",$$,40.6533,-111.94086,3.25,43.99,13.264846153846154,13.75,1,UT/SALT LAKE CITY,130
4566,10635,10635,30630,Drip Tacos,salt lake city,ut,4.2,26.0,"mexican, latin american, new mexican",$,40.69893,-111.86635,3.0,15.0,7.865625,4.984999999999999,1,UT/SALT LAKE CITY,16
4569,10638,10638,30642,Cancun Cafe,salt lake city,ut,4.2,19.0,"mexican, latin american, new mexican",$,40.62518,-111.83744,3.0,29.99,11.644423076923076,11.99,1,UT/SALT LAKE CITY,52
4572,10641,10641,30658,Just Juice,salt lake city,ut,,,"mexican, latin american, new mexican",$,40.69753,-111.94195,5.23,7.15,6.510000000000001,7.15,1,UT/SALT LAKE CITY,3
4573,10642,10642,30660,Sunnyside,salt lake city,ut,,,"mexican, latin american, new mexican",$,40.69753,-111.94195,6.05,14.85,10.816666666666666,11.0,1,UT/SALT LAKE CITY,18
4574,10643,10643,30662,Bigote,salt lake city,ut,,,"mexican, latin american, new mexican",$,40.69753,-111.94195,3.85,17.05,9.13030303030303,8.8,1,UT/SALT LAKE CITY,33
4575,10644,10644,30663,Puertos,salt lake city,ut,,,"mexican, latin american, new mexican",$,40.69753,-111.94195,3.85,25.3,10.465714285714286,11.55,1,UT/SALT LAKE CITY,35
4582,10651,10651,30770,La Tenoch Mexican Food,salt lake city,ut,4.1,43.0,mexican,$,40.6993642,-111.8858948,3.99,14.99,10.401935483870966,10.99,1,UT/SALT LAKE CITY,62
4584,10653,10653,30787,South City Tacos,salt lake city,ut,4.8,100.0,"mexican, tex mex, latin american, exclusive to eats",$,40.6995298,-111.88579,3.99,34.99,12.372698412698414,9.49,1,UT/SALT LAKE CITY,63
4602,10671,10671,30971,Los Machetes,salt lake city,ut,3.9,16.0,"mexican, breakfast and brunch, new mexican",$,40.66876,-111.95542,3.0,13.99,7.642162162162162,7.99,1,UT/SALT LAKE CITY,37
4610,10679,10679,31039,Chipotle Mexican Grill,salt lake city,ut,4.7,100.0,"healthy, mexican",$,40.7256694,-111.8620262,3.0,15.15,7.532894736842105,7.35,1,UT/SALT LAKE CITY,38
4611,10680,10680,31052,Taqueria Los Lee,salt lake city,ut,,,"mexican, tacos",$,40.7134,-111.87175,3.99,11.99,9.156666666666666,8.99,1,UT/SALT LAKE CITY,12
4622,10691,10691,31709,Chipotle Mexican Grill,salt lake city,ut,4.4,100.0,"healthy, mexican",$,40.7602558,-111.8694831,3.15,15.75,7.64375,6.375,1,UT/SALT LAKE CITY,40
4628,10697,10697,31718,Las Cazuelas,salt lake city,ut,,,"mexican, latin american, new mexican",$$,40.6605349,-111.9405205,3.5,8.5,6.995,7.99,1,UT/SALT LAKE CITY,4
4629,10698,10698,31720,Don pollo,salt lake city,ut,,,"mexican, latin american, new mexican",$$,40.67422,-111.91393,3.5,11.5,7.795333333333334,6.5,1,UT/SALT LAKE CITY,15
4645,10714,10714,31765,Del Taco,salt lake city,ut,4.6,100.0,"fast food, mexican, tacos",$,40.7257133,-111.8900589,3.05,22.05,8.09390243902439,7.35,1,UT/SALT LAKE CITY,82
4680,10749,10749,31893,Chungas,salt lake city,ut,4.9,16.0,"mexican, comfort food, new mexican",$,40.76535,-111.91735,4.5,10.99,7.210625,8.0,1,UT/SALT LAKE CITY,32
4684,10753,10753,31899,Taco Bell,salt lake city,ut,4.3,100.0,"burritos, fast food, mexican",$,40.7226979,-111.8541894,3.35,28.79,9.803692307692309,6.95,1,UT/SALT LAKE CITY,65
